type,level,permDesc,permName
workflow,editors,Can abort a process instance,tiki_p_abort_instance
tiki,admin,Can access site when closed,tiki_p_access_closed_site
calendar,registered,Can add events in the calendar,tiki_p_add_events
tiki,admin,"Administrator, can manage users groups and permissions, Hotwords and all the weblog features",tiki_p_admin
tiki,admin,"Administrator, can admin banners",tiki_p_admin_banners
tiki,admin,Can ban users or ips,tiki_p_admin_banning
calendar,admin,Can create/admin calendars,tiki_p_admin_calendar
tiki,editors,Can admin categories,tiki_p_admin_categories
charts,admin,Can admin charts,tiki_p_admin_charts
chat,editors,"Administrator, can create channels remove channels etc",tiki_p_admin_chat
cms,editors,Can admin the cms,tiki_p_admin_cms
directory,editors,Can admin the directory,tiki_p_admin_directory
directory,editors,Can admin directory categories,tiki_p_admin_directory_cats
directory,editors,Can admin directory sites,tiki_p_admin_directory_sites
drawings,editors,Can admin drawings,tiki_p_admin_drawings
tiki,editors,Can admin the dynamic content system,tiki_p_admin_dynamic
faqs,editors,Can admin faqs,tiki_p_admin_faqs
file galleries,editors,Can admin file galleries,tiki_p_admin_file_galleries
forums,editors,Can admin forums,tiki_p_admin_forum
image galleries,editors,Can admin Image Galleries,tiki_p_admin_galleries
games,editors,Can admin games,tiki_p_admin_games
tiki,admin,Can admin mail-in accounts,tiki_p_admin_mailin
newsletters,admin,Can admin newsletters,tiki_p_admin_newsletters
quizzes,editors,Can admin quizzes,tiki_p_admin_quizzes
comm,editors,Can admin received articles,tiki_p_admin_received_articles
comm,editors,Can admin received pages,tiki_p_admin_received_pages
sheet,admin,Can admin sheet,tiki_p_admin_sheet
shoutbox,editors,Can admin shoutbox (Edit/remove msgs),tiki_p_admin_shoutbox
surveys,editors,Can admin surveys,tiki_p_admin_surveys
trackers,editors,Can admin trackers,tiki_p_admin_trackers
wiki,editors,Can admin the wiki,tiki_p_admin_wiki
workflow,admin,Can admin workflow processes,tiki_p_admin_workflow
cms,editors,Can approve submissions,tiki_p_approve_submission
trackers,registered,Can attach files to tracker items,tiki_p_attach_trackers
cms,editors,Submited articles automatically approved,tiki_p_autoapprove_submission
directory,editors,Submited links are valid,tiki_p_autosubmit_link
charts,editors,Autovalidate suggestions,tiki_p_autoval_chart_suggestio
file galleries,editors,Can upload zip files with files,tiki_p_batch_upload_files
image galleries,editors,Can upload zip files with images,tiki_p_batch_upload_images
image galleries,editors,Can use Directory Batch Load,tiki_p_batch_upload_image_dir
blogs,editors,Can admin blogs,tiki_p_blog_admin
blogs,registered,Can post to a blog,tiki_p_blog_post
messu,admin,Can broadcast messages to groups,tiki_p_broadcast
messu,admin,Can broadcast messages to all user,tiki_p_broadcast_all
user,admin,Can cache user bookmarks,tiki_p_cache_bookmarks
calendar,registered,Can change events in the calendar,tiki_p_change_events
chat,registered,Can use the chat system,tiki_p_chat
trackers,basic,Can insert comments for tracker items,tiki_p_comment_tracker_items
user,registered,Can configure modules,tiki_p_configure_modules
blogs,editors,Can create a blog,tiki_p_create_blogs
user,registered,Can create user bookmarks,tiki_p_create_bookmarks
tiki,registered,Can create new css suffixed with -user,tiki_p_create_css
file galleries,editors,Can create file galleries,tiki_p_create_file_galleries
image galleries,editors,Can create image galleries,tiki_p_create_galleries
trackers,registered,Can create new items for trackers,tiki_p_create_tracker_items
file galleries,basic,Can download files,tiki_p_download_files
wiki,registered,Can edit pages,tiki_p_edit
cms,editors,Can edit articles,tiki_p_edit_article
comments,editors,Can edit all comments,tiki_p_edit_comments
content templates,editors,Can edit content templates,tiki_p_edit_content_templates
tiki,editors,Can admin cookies,tiki_p_edit_cookies
wiki,editors,Can edit copyright notices,tiki_p_edit_copyrights
drawings,basic,Can edit drawings,tiki_p_edit_drawings
html pages,editors,Can edit HTML pages,tiki_p_edit_html_pages
tiki,editors,Can edit translations and create new languages,tiki_p_edit_languages
sheet,editors,Can create and edit sheets,tiki_p_edit_sheet
wiki,editors,Can create and edit structures,tiki_p_edit_structures
cms,editors,Can edit submissions,tiki_p_edit_submission
tiki,admin,Can edit site templates,tiki_p_edit_templates
tiki,admin,Can view site templates,tiki_p_view_templates
tiki,editors,Can admin ephemerides,tiki_p_eph_admin
workflow,registered,Can declare an instance as exception,tiki_p_exception_instance
forums,registered,Can attach to forum posts,tiki_p_forum_attach
forums,editors,Auto approve forum posts,tiki_p_forum_autoapp
forums,registered,Can post in forums,tiki_p_forum_post
forums,registered,Can start threads in forums,tiki_p_forum_post_topic
forums,basic,Can read forums,tiki_p_forum_read
forums,registered,Can vote comments in forums,tiki_p_forum_vote
forums,registered,Can report msgs to moderator,tiki_p_forums_report
community,registered,Can list registered users,tiki_p_list_users
support,basic,Can use live support system,tiki_p_live_support
support,admin,Admin live support system,tiki_p_live_support_admin
wiki,editors,Can lock pages,tiki_p_lock
maps,admin,Can create new mapfile,tiki_p_map_create
maps,admin,Can delete mapfiles,tiki_p_map_delete
maps,editors,Can edit mapfiles,tiki_p_map_edit
maps,basic,Can view mapfiles,tiki_p_map_view
maps,registered,Can view contents of mapfiles,tiki_p_map_view_mapfiles
messu,registered,Can use the messaging system,tiki_p_messages
user,registered,Can use the mini event calendar,tiki_p_minical
wiki,registered,Can save as minor edit,tiki_p_minor
trackers,registered,Can change tracker items,tiki_p_modify_tracker_items
user,registered,Can use the newsreader,tiki_p_newsreader
user,registered,Can use the notepad,tiki_p_notepad
games,basic,Can play games,tiki_p_play_games
comments,registered,Can post new comments,tiki_p_post_comments
shoutbox,basic,Can post messages in shoutbox,tiki_p_post_shoutbox
cms,basic,Can read articles,tiki_p_read_article
blogs,basic,Can read blogs,tiki_p_read_blog
comments,basic,Can read comments,tiki_p_read_comments
wiki,editors,Can remove,tiki_p_remove
cms,editors,Can remove articles,tiki_p_remove_article
comments,editors,Can delete comments,tiki_p_remove_comments
cms,editors,Can remove submissions,tiki_p_remove_submission
wiki,editors,Can rename pages,tiki_p_rename
wiki,editors,Can rollback pages,tiki_p_rollback
comm,editors,Can send articles to other sites,tiki_p_send_articles
workflow,registered,Can send instances after completion,tiki_p_send_instance
newsletters,editors,Can send newsletters,tiki_p_send_newsletters
comm,registered,Can send pages to other sites,tiki_p_send_pages
comm,registered,Can send articles to this site,tiki_p_sendme_articles
comm,registered,Can send pages to this site,tiki_p_sendme_pages
cms,basic,Can submit articles,tiki_p_submit_article
directory,basic,Can submit sites to the directory,tiki_p_submit_link
newsletters,editors,Can subscribe any email to newsletters,tiki_p_subscribe_email
newsletters,basic,Can subscribe to newsletters,tiki_p_subscribe_newsletters
charts,basic,Can suggest items,tiki_p_suggest_chart_item
faqs,basic,Can suggest faq questions,tiki_p_suggest_faq
quizzes,basic,Can take quizzes,tiki_p_take_quiz
surveys,basic,Can take surveys,tiki_p_take_survey
user,registered,Can use tasks,tiki_p_tasks
topics,basic,Can read a topic (Applies only to individual topic perms),tiki_p_topic_read
trackers,basic,Can view rating result for tracker items,tiki_p_tracker_view_ratings
trackers,registered,Can vote a rating for tracker items,tiki_p_tracker_vote_ratings
file galleries,registered,Can upload files,tiki_p_upload_files
image galleries,registered,Can upload images,tiki_p_upload_images
wiki,registered,Can upload pictures to wiki pages,tiki_p_upload_picture
tiki,editors,Can use HTML in pages,tiki_p_use_HTML
content templates,registered,Can use content templates,tiki_p_use_content_templates
webmail,registered,Can use webmail,tiki_p_use_webmail
workflow,registered,Can execute workflow activities,tiki_p_use_workflow
user,registered,Can upload personal files,tiki_p_userfiles
user,registered,Can create items in personal menu,tiki_p_usermenu
directory,editors,Can validate submited links,tiki_p_validate_links
wiki,basic,Can view page/pages,tiki_p_view
calendar,basic,Can browse the calendar,tiki_p_view_calendar
tiki,basic,Can browse categories,tiki_p_view_categories
charts,basic,Can view charts,tiki_p_view_chart
directory,basic,Can use the directory,tiki_p_view_directory
tiki,registered,Can view ephemerides,tiki_p_view_eph
faqs,basic,Can view faqs,tiki_p_view_faqs
file galleries,basic,Can view file galleries,tiki_p_view_file_gallery
html pages,basic,Can view HTML pages,tiki_p_view_html_pages
image galleries,basic,Can view image galleries,tiki_p_view_image_gallery
quizzes,basic,Can view quiz stats,tiki_p_view_quiz_stats
tiki,editors,Can view referer stats,tiki_p_view_referer_stats
sheet,basic,Can view sheet,tiki_p_view_sheet
sheet,admin,Can view sheet history,tiki_p_view_sheet_history
shoutbox,basic,Can view shoutbox,tiki_p_view_shoutbox
tiki,basic,Can view site stats,tiki_p_view_stats
surveys,basic,Can view survey stats,tiki_p_view_survey_stats
trackers,basic,Can view trackers,tiki_p_view_trackers
trackers,registered,Can view trackers closed items,tiki_p_view_trackers_closed
trackers,editors,Can view trackers pending items,tiki_p_view_trackers_pending
calendar,basic,Can view TikiWiki tools calendar,tiki_p_view_tiki_calendar
quizzes,editors,Can view user quiz results,tiki_p_view_user_results
charts,basic,Can vote,tiki_p_vote_chart
comments,registered,Can vote comments,tiki_p_vote_comments
tiki,basic,Can vote polls,tiki_p_vote_poll
wiki,editors,Can admin attachments to wiki pages,tiki_p_wiki_admin_attachments
wiki,registered,Can attach files to wiki pages,tiki_p_wiki_attach_files
wiki,registered,Can view wiki attachments and download,tiki_p_wiki_view_attachments
wiki,basic,Can view wiki comments,tiki_p_wiki_view_comments
wiki,basic,Can view wiki history,tiki_p_wiki_view_history
wiki,basic,Can view rating of wiki pages,tiki_p_wiki_view_ratings
wiki,registered,Can participate to rating of wiki pages,tiki_p_wiki_vote_ratings
wiki,admin,Can add and change ratings on wiki pages,tiki_p_wiki_admin_ratings
user,admin,Can admin users,tiki_p_admin_users
user,registered,Can send tasks to other users,tiki_p_tasks_send
user,registered,Can  receive tasks from other users,tiki_p_tasks_receive
user,admin,Can admin public tasks,tiki_p_tasks_admin
tiki,admin,Can admin rss modules,tiki_p_admin_rssmodules
tiki,admin,Can admin polls,tiki_p_admin_polls
tiki,admin,Can edit object permissions,tiki_p_admin_objects
wiki,editors,Can edit dynamic variables,tiki_p_edit_dynvar
tiki,admin,Can admin integrator repositories and rules,tiki_p_admin_integrator
tiki,basic,Can view integrated repositories,tiki_p_view_integrator

